Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-01-01,976.75,988.07,973.43,981.48,981.48,8164704,HDFCBANK.BO
2020-01-01,1306.89,1308.49,1291.52,1304.15,1304.15,9027525,ICICIBANK.BO
2020-01-01,507.94,513.36,503.53,511.78,511.78,2584934,INFY.BO
2020-01-01,681.69,689.5,680.13,684.46,684.46,6027412,RELIANCE.BO
2020-01-01,772.63,777.19,767.9,772.33,772.33,1723415,TCS.BO
2020-01-02,964.92,969.83,959.69,967.77,967.77,4524986,HDFCBANK.BO
2020-01-02,1272.84,1288.56,1263.22,1286.64,1286.64,5839175,ICICIBANK.BO
2020-01-02,492.28,495.09,490.62,493.94,493.94,2879738,INFY.BO
2020-01-02,678.54,686.23,675.82,681.28,681.28,7770050,RELIANCE.BO
2020-01-02,787.59,793.01,779.24,784.7,784.7,3288814,TCS.BO
2020-01-03,950.78,952.38,940.79,946.7,946.7,6905293,HDFCBANK.BO
2020-01-03,1310.48,1310.5,1299.77,1300.97,1300.97,5126956,ICICIBANK.BO
2020-01-03,479.32,480.34,477.35,477.61,477.61,8970668,INFY.BO
2020-01-03,698.65,701.83,691.83,699.99,699.99,2845663,RELIANCE.BO
2020-01-03,773.41,777.65,772.49,773.08,773.08,374509,TCS.BO
2020-01-04,932.88,941.4,927.01,933.99,933.99,4974791,HDFCBANK.BO
2020-01-04,1285.24,1300.7,1284.97,1291.99,1291.99,7908316,ICICIBANK.BO
2020-01-04,480.7,484.64,478.16,479.33,479.33,4063655,INFY.BO
2020-01-04,713.6,717.42,711.03,714.85,714.85,1142970,RELIANCE.BO
2020-01-04,777.79,780.41,773.41,775.45,775.45,9281474,TCS.BO
2020-01-05,913.93,915.1,900.43,907.13,907.13,2750521,HDFCBANK.BO
2020-01-05,1286.86,1299.5,1272.87,1283.36,1283.36,1157190,ICICIBANK.BO
2020-01-05,472.17,482.07,469.1,477.77,477.77,3990519,INFY.BO
2020-01-05,713.16,730.6,712.09,723.64,723.64,6795142,RELIANCE.BO
2020-01-05,799.67,812.85,791.65,805.6,805.6,1128202,TCS.BO
2020-01-06,902.95,908.09,894.85,908.01,908.01,7370842,HDFCBANK.BO
2020-01-06,1241.18,1253.75,1237.21,1242.11,1242.11,7293195,ICICIBANK.BO
2020-01-06,466.5,471.48,463.41,467.59,467.59,3722164,INFY.BO
2020-01-06,712.19,715.15,710.84,713.57,713.57,324866,RELIANCE.BO
2020-01-06,825.8,827.72,814.54,819.93,819.93,633134,TCS.BO
2020-01-07,883.26,891.01,875.4,883.79,883.79,5252211,HDFCBANK.BO
2020-01-07,1292.75,1301.81,1271.68,1272.98,1272.98,9369936,ICICIBANK.BO
2020-01-07,485.2,486.77,482.78,486.42,486.42,8206188,INFY.BO
2020-01-07,693.91,700.53,688.85,692.95,692.95,1135458,RELIANCE.BO
2020-01-07,821.7,826.95,819.78,825.84,825.84,9462724,TCS.BO
2020-01-08,862.31,865.53,853.79,862.56,862.56,8746902,HDFCBANK.BO
2020-01-08,1299.9,1302.45,1285.85,1297.57,1297.57,8235180,ICICIBANK.BO
2020-01-08,481.08,484.38,477.29,482.51,482.51,4042861,INFY.BO
2020-01-08,695.95,702.75,690.49,697.22,697.22,3536076,RELIANCE.BO
2020-01-08,812.29,825.59,809.04,823.05,823.05,1661438,TCS.BO
2020-01-09,874.32,874.7,870.88,872.92,872.92,9868378,HDFCBANK.BO
2020-01-09,1250.68,1256.75,1234.85,1247.09,1247.09,3452395,ICICIBANK.BO
2020-01-09,485.69,487.64,480.38,484.13,484.13,7884192,INFY.BO
2020-01-09,718.46,726.41,711.77,719.4,719.4,3955453,RELIANCE.BO
2020-01-09,818.27,824.81,810.58,818.42,818.42,4672880,TCS.BO
2020-01-10,867.79,877.47,859.47,873.0,873.0,1796204,HDFCBANK.BO
2020-01-10,1240.53,1256.0,1236.12,1243.9,1243.9,3749873,ICICIBANK.BO
2020-01-10,476.77,477.05,470.84,473.55,473.55,2782387,INFY.BO
2020-01-10,701.81,706.48,697.32,700.92,700.92,7992536,RELIANCE.BO
2020-01-10,794.17,798.66,789.86,795.81,795.81,6048185,TCS.BO
2020-01-11,854.26,858.42,844.65,851.53,851.53,6996185,HDFCBANK.BO
2020-01-11,1238.42,1246.13,1226.48,1243.65,1243.65,4480977,ICICIBANK.BO
2020-01-11,491.98,493.86,488.06,488.56,488.56,8374115,INFY.BO
2020-01-11,698.39,699.97,690.49,692.68,692.68,6186296,RELIANCE.BO
2020-01-11,802.5,808.1,797.88,802.38,802.38,2051179,TCS.BO
2020-01-12,859.05,866.71,858.32,860.29,860.29,4253997,HDFCBANK.BO
2020-01-12,1290.92,1298.17,1285.2,1296.08,1296.08,857000,ICICIBANK.BO
2020-01-12,486.88,487.1,481.78,485.01,485.01,6436439,INFY.BO
2020-01-12,684.1,685.94,679.15,679.48,679.48,380783,RELIANCE.BO
2020-01-12,818.63,824.0,810.97,818.81,818.81,6470885,TCS.BO
2020-01-13,882.19,898.26,875.18,891.36,891.36,2637393,HDFCBANK.BO
2020-01-13,1261.66,1262.77,1248.18,1249.23,1249.23,9757257,ICICIBANK.BO
2020-01-13,492.53,493.48,488.41,491.84,491.84,3099518,INFY.BO
2020-01-13,670.4,674.57,670.04,670.34,670.34,7583386,RELIANCE.BO
2020-01-13,838.03,839.2,831.82,832.12,832.12,8344889,TCS.BO
2020-01-14,866.45,873.76,859.7,873.71,873.71,4466930,HDFCBANK.BO
2020-01-14,1289.75,1310.7,1277.55,1298.54,1298.54,9366440,ICICIBANK.BO
2020-01-14,477.24,486.13,473.4,483.96,483.96,7202178,INFY.BO
2020-01-14,673.53,676.06,673.17,673.36,673.36,2214147,RELIANCE.BO
2020-01-14,801.95,803.17,792.43,799.4,799.4,3073340,TCS.BO
2020-01-15,881.2,895.11,875.1,887.39,887.39,1279737,HDFCBANK.BO
2020-01-15,1252.72,1277.37,1249.75,1265.94,1265.94,5820363,ICICIBANK.BO
2020-01-15,482.62,485.98,479.98,485.67,485.67,3407237,INFY.BO
2020-01-15,677.38,682.84,672.51,674.24,674.24,9134396,RELIANCE.BO
2020-01-15,797.47,805.27,787.6,790.38,790.38,2798567,TCS.BO
2020-01-16,885.39,894.98,885.24,887.55,887.55,4422100,HDFCBANK.BO
2020-01-16,1329.6,1342.79,1321.4,1326.06,1326.06,4612074,ICICIBANK.BO
2020-01-16,486.87,488.13,483.83,487.94,487.94,1244521,INFY.BO
2020-01-16,677.06,677.55,667.64,672.93,672.93,4516904,RELIANCE.BO
2020-01-16,784.46,791.72,778.29,787.32,787.32,563103,TCS.BO
2020-01-17,895.54,900.88,893.68,894.5,894.5,6646703,HDFCBANK.BO
2020-01-17,1334.53,1339.33,1330.07,1336.01,1336.01,6883819,ICICIBANK.BO
2020-01-17,480.87,485.54,476.95,480.14,480.14,8804331,INFY.BO
2020-01-17,672.65,674.62,670.54,673.92,673.92,3454086,RELIANCE.BO
